K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
128,68,68,256,1,4,1,17,32,2,1,8,0.13289499999999999
128,68,68,256,1,4,1,17,32,4,1,32,0.25408
128,68,68,256,1,4,1,2,32,1,1,2,0.630415
128,68,68,256,1,2,1,2,32,2,1,4,0.515505
128,68,68,256,1,4,1,4,32,4,1,8,0.47651
128,68,68,256,1,1,2,2,32,2,2,32,0.90947
128,68,68,256,1,4,1,4,32,2,1,8,0.47667000000000004
128,68,68,256,1,2,1,2,32,1,2,2,0.48152
128,68,68,256,1,1,1,2,32,4,1,8,0.9480299999999999
128,68,68,256,1,4,1,17,32,4,1,2,0.1728
128,68,68,256,1,2,2,4,32,2,1,2,0.452545
128,68,68,256,1,1,1,2,32,2,1,8,0.92592
128,68,68,256,1,4,2,17,32,1,1,8,0.17128
128,68,68,256,1,1,1,1,32,2,4,1,1.4951850000000002
128,68,68,256,1,4,1,1,32,1,4,4,0.5554399999999999
128,68,68,256,1,1,1,17,32,2,1,8,0.21989
128,68,68,256,1,4,2,2,32,2,2,1,0.40068499999999996
128,68,68,256,1,1,2,2,32,2,1,4,0.679505
128,68,68,256,1,2,1,1,32,1,1,2,1.5596999999999999
128,68,68,256,1,1,1,1,32,1,2,16,1.9348649999999998
128,68,68,256,1,4,1,1,32,1,2,2,0.52502
128,68,68,256,1,4,1,1,32,1,2,1,0.58304
128,68,68,256,1,1,2,2,32,1,2,8,0.499375
128,68,68,256,1,2,4,17,32,1,1,1,0.274175
128,68,68,256,1,1,1,2,32,1,2,2,0.7751049999999999
128,68,68,256,1,1,2,4,32,1,1,1,0.7862100000000001
128,68,68,256,1,4,1,1,32,4,4,16,1.108435
128,68,68,256,1,1,1,1,32,4,1,1,1.61592
128,68,68,256,1,1,1,1,32,2,2,8,1.613165
128,68,68,256,1,1,4,17,32,1,1,4,0.217105
128,68,68,256,1,1,1,1,32,4,4,32,2.8674049999999998
128,68,68,256,1,1,1,2,32,2,1,4,0.83464
128,68,68,256,1,1,2,4,32,1,1,4,0.639795
128,68,68,256,1,1,1,4,32,2,1,8,0.49245
128,68,68,256,1,4,2,2,32,1,1,4,0.5887800000000001
128,68,68,256,1,2,4,17,32,1,1,32,0.38099
128,68,68,256,1,2,2,2,32,2,1,2,0.4796
128,68,68,256,1,2,2,2,32,2,1,8,0.51498
128,68,68,256,1,2,2,2,32,1,1,32,1.7273
128,68,68,256,1,1,4,17,32,1,1,32,0.43578
128,68,68,256,1,4,1,2,32,1,1,32,1.880045
128,68,68,256,1,1,1,17,32,1,1,4,0.26676999999999995
128,68,68,256,1,2,1,2,32,2,2,8,0.56813
128,68,68,256,1,1,2,17,32,1,1,16,0.26813
128,68,68,256,1,1,1,17,32,2,1,32,0.309135
128,68,68,256,1,2,1,1,32,4,1,4,1.007955
128,68,68,256,1,2,1,2,32,1,1,1,0.87051
128,68,68,256,1,2,2,17,32,2,1,1,0.32054
128,68,68,256,1,1,1,1,32,1,4,2,1.38808
128,68,68,256,1,4,1,2,32,2,2,1,0.54472
128,68,68,256,1,4,2,4,32,1,1,8,0.40834000000000004
128,68,68,256,1,2,1,4,32,1,1,4,0.47435000000000005
128,68,68,256,1,2,1,17,32,1,1,2,0.153935
128,68,68,256,1,4,2,2,32,2,1,1,0.46133
128,68,68,256,1,4,1,4,32,2,1,16,0.55843
128,68,68,256,1,2,1,17,32,4,1,16,0.186815
128,68,68,256,1,1,2,4,32,2,1,8,0.42103999999999997
128,68,68,256,1,4,2,2,32,1,2,2,0.4828
128,68,68,256,1,1,1,1,32,2,2,2,1.430365
128,68,68,256,1,1,1,2,32,4,2,8,0.9009750000000001
128,68,68,256,1,2,1,2,32,4,2,4,0.50454
128,68,68,256,1,4,4,4,32,1,1,1,0.539825
128,68,68,256,1,2,2,2,32,2,1,16,0.71032
128,68,68,256,1,2,1,1,32,1,2,8,1.030435
128,68,68,256,1,4,2,17,32,1,1,1,0.388575
128,68,68,256,1,4,2,2,32,2,1,32,1.1513900000000001
128,68,68,256,1,2,1,1,32,2,1,4,1.005085
128,68,68,256,1,4,1,1,32,1,4,2,0.5196799999999999
128,68,68,256,1,2,1,1,32,2,1,1,0.96854
128,68,68,256,1,1,1,17,32,2,1,1,0.27763000000000004
128,68,68,256,1,4,1,2,32,1,2,1,0.54166
128,68,68,256,1,4,1,17,32,4,1,16,0.17662499999999998
128,68,68,256,1,2,1,1,32,1,2,32,2.19987
128,68,68,256,1,2,1,2,32,2,1,8,0.62358
128,68,68,256,1,4,2,2,32,2,2,8,0.44376000000000004
128,68,68,256,1,2,1,1,32,2,4,4,0.876735
128,68,68,256,1,4,1,1,32,1,1,16,2.1296
128,68,68,256,1,1,1,17,32,1,1,1,0.272995
128,68,68,256,1,2,1,1,32,2,4,16,1.38728
128,68,68,256,1,2,2,2,32,1,2,1,0.43181
128,68,68,256,1,4,1,1,32,2,4,8,0.719375
128,68,68,256,1,4,1,1,32,1,1,1,0.963105
128,68,68,256,1,1,1,2,32,2,2,8,0.8627199999999999
128,68,68,256,1,4,2,2,32,1,1,32,1.6575199999999999
128,68,68,256,1,4,2,17,32,2,1,4,0.140525
128,68,68,256,1,4,1,2,32,4,2,8,0.45486000000000004
128,68,68,256,1,2,2,4,32,1,1,2,0.5153449999999999
128,68,68,256,1,1,2,2,32,1,2,32,0.89741
128,68,68,256,1,2,1,1,32,4,4,4,0.926625
128,68,68,256,1,1,2,2,32,1,2,4,0.456495
128,68,68,256,1,2,1,2,32,4,1,8,0.63576
128,68,68,256,1,4,1,2,32,1,2,4,0.388815
128,68,68,256,1,1,4,4,32,1,1,2,0.455725
128,68,68,256,1,1,2,4,32,2,1,32,0.7174400000000001
128,68,68,256,1,1,2,17,32,2,1,4,0.24501
128,68,68,256,1,4,2,4,32,2,1,4,0.385455
128,68,68,256,1,2,1,17,32,4,1,4,0.164895
128,68,68,256,1,1,1,1,32,1,1,8,3.13194
128,68,68,256,1,2,4,17,32,1,1,2,0.15845
128,68,68,256,1,4,1,1,32,2,2,32,1.85
128,68,68,256,1,2,2,4,32,1,1,32,0.9941450000000001
128,68,68,256,1,2,1,4,32,1,1,8,0.54101
128,68,68,256,1,1,2,17,32,2,1,1,0.31467500000000004
128,68,68,256,1,1,1,2,32,4,2,1,0.882285
128,68,68,256,1,1,1,4,32,4,1,2,0.47347
128,68,68,256,1,1,1,4,32,1,1,4,0.73955
128,68,68,256,1,4,2,2,32,1,1,16,1.02069
128,68,68,256,1,2,4,4,32,1,1,2,0.35202999999999995
128,68,68,256,1,1,1,1,32,2,4,2,1.41098
128,68,68,256,1,1,2,2,32,2,2,16,0.6384
128,68,68,256,1,2,1,2,32,1,1,4,0.87123
128,68,68,256,1,1,1,1,32,4,1,16,2.39627
