K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
128,68,68,256,1,2,8,1,4,8,1,1,1,1,16,0.07987
128,68,68,256,1,4,2,1,2,16,1,1,4,1,32,0.089075
128,68,68,256,1,2,8,1,4,8,1,2,2,1,8,0.05734
128,68,68,256,1,2,8,1,2,16,1,17,1,1,8,0.07016
128,68,68,256,1,2,4,1,1,32,1,1,1,1,16,0.22218
128,68,68,256,1,34,4,1,4,8,1,1,4,1,16,0.2089
128,68,68,256,1,8,2,1,2,16,1,1,2,1,1,0.09011
128,68,68,256,1,68,2,1,1,32,1,2,2,1,1,0.198675
128,68,68,256,1,34,2,1,4,8,1,1,1,1,4,0.09114
128,68,68,256,1,2,2,1,2,16,1,4,1,1,2,0.11158
128,68,68,256,1,4,2,1,2,16,1,1,4,1,2,0.099375
128,68,68,256,1,2,2,1,1,32,1,8,2,1,4,0.0881
128,68,68,256,1,34,2,1,4,8,1,2,8,1,2,0.24680000000000002
128,68,68,256,1,34,2,1,4,8,1,1,8,1,1,0.2089
128,68,68,256,1,2,4,1,1,32,1,4,1,1,64,0.125965
128,68,68,256,1,2,2,1,2,16,1,2,1,1,4,0.09418
128,68,68,256,1,34,2,1,2,16,1,2,2,1,32,0.10749
128,68,68,256,1,34,4,1,2,16,1,4,1,1,4,0.11878
128,68,68,256,1,8,2,1,1,32,1,1,2,1,8,0.07680000000000001
128,68,68,256,1,8,2,1,1,32,1,2,2,1,8,0.06195
128,68,68,256,1,2,2,1,1,32,1,1,2,1,16,0.17302499999999998
128,68,68,256,1,34,2,1,2,16,1,1,1,1,1,0.16282
128,68,68,256,1,2,16,1,4,8,1,17,1,1,4,0.125965
128,68,68,256,1,2,8,1,2,16,1,4,1,1,1,0.092655
128,68,68,256,1,4,4,1,4,8,1,1,1,1,64,0.17408
128,68,68,256,1,2,4,1,4,8,1,17,1,1,8,0.06758
128,68,68,256,1,34,2,1,1,32,1,1,1,1,1,0.17507
128,68,68,256,1,2,16,1,8,4,1,1,1,1,32,0.09933
128,68,68,256,1,2,2,1,2,16,1,2,1,1,32,0.08806
128,68,68,256,1,2,2,1,1,32,1,4,2,1,1,0.13722
128,68,68,256,1,8,4,1,2,16,1,1,1,1,1,0.14336
128,68,68,256,1,4,2,1,1,32,1,1,2,1,4,0.10138
