K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
64,56,56,64,1,14,8,1,16,2,1,2,1,1,16,0.06957
64,56,56,64,1,2,4,1,8,4,1,2,2,1,32,0.012015000000000001
64,56,56,64,1,4,2,1,8,4,1,1,1,1,1,0.02278
64,56,56,64,1,32,2,1,1,32,1,2,1,1,64,0.01866
64,56,56,64,1,8,4,1,8,4,1,7,1,1,2,0.02451
64,56,56,64,1,4,2,1,2,16,1,7,1,1,8,0.014544999999999999
64,56,56,64,1,14,2,1,2,16,1,4,1,1,16,0.01386
64,56,56,64,1,14,2,1,1,32,1,1,1,1,1,0.029235
64,56,56,64,1,4,2,1,2,16,1,2,2,1,2,0.01811
64,56,56,64,1,2,4,1,8,4,1,14,2,1,16,0.01507
64,56,56,64,1,4,2,1,2,16,1,2,1,1,2,0.01757
64,56,56,64,1,14,4,1,8,4,1,1,4,1,1,0.02771
64,56,56,64,1,2,2,1,8,4,1,4,2,1,4,0.016094999999999998
64,56,56,64,1,2,16,1,32,1,1,7,1,1,1,0.032525
64,56,56,64,1,2,8,1,4,8,1,4,1,1,64,0.010605
64,56,56,64,1,2,2,1,4,8,1,8,4,1,4,0.02093
64,56,56,64,1,2,8,1,4,8,1,8,1,1,8,0.012655
64,56,56,64,1,14,2,1,16,2,1,2,4,1,4,0.0224
64,56,56,64,1,8,2,1,8,4,1,1,2,1,32,0.013295000000000001
64,56,56,64,1,2,2,1,16,2,1,1,1,1,2,0.030719999999999997
64,56,56,64,1,16,2,1,2,16,1,2,1,1,1,0.02563
64,56,56,64,1,14,2,1,1,32,1,14,1,1,16,0.0223
64,56,56,64,1,2,4,1,16,2,1,1,1,1,1,0.021295
64,56,56,64,1,28,2,1,1,32,1,7,1,1,32,0.02387
64,56,56,64,1,8,4,1,4,8,1,2,1,1,2,0.01827
64,56,56,64,1,14,2,1,8,4,1,1,4,1,2,0.01965
64,56,56,64,1,4,4,1,8,4,1,2,1,1,32,0.01256
64,56,56,64,1,14,4,1,16,2,1,1,8,1,8,0.02323
64,56,56,64,1,14,4,1,4,8,1,8,1,1,8,0.02464
64,56,56,64,1,8,2,1,1,32,1,4,1,1,4,0.01488
64,56,56,64,1,2,4,1,16,2,1,1,8,1,2,0.018035000000000002
64,56,56,64,1,2,2,1,2,16,1,16,1,1,64,0.01456
64,56,56,64,1,2,16,1,16,2,1,7,1,1,2,0.02272
64,56,56,64,1,56,2,1,2,16,1,1,2,1,8,0.02618
64,56,56,64,1,2,16,1,16,2,1,2,2,1,8,0.01352
64,56,56,64,1,2,8,1,32,1,1,7,2,1,16,0.01696
64,56,56,64,1,28,2,1,8,4,1,7,1,1,1,0.05146
64,56,56,64,1,32,4,1,2,16,1,1,1,1,1,0.03608
64,56,56,64,1,4,4,1,16,2,1,1,1,1,32,0.018834999999999998
64,56,56,64,1,2,2,1,2,16,1,16,1,1,8,0.01531
64,56,56,64,1,14,8,1,32,1,1,1,4,1,8,0.03894
64,56,56,64,1,14,4,1,16,2,1,1,1,1,32,0.124195
64,56,56,64,1,4,2,1,16,2,1,1,16,1,1,0.021775000000000003
64,56,56,64,1,14,8,1,16,2,1,2,4,1,2,0.04333
64,56,56,64,1,2,2,1,8,4,1,4,4,1,32,0.0144
64,56,56,64,1,4,4,1,4,8,1,7,1,1,64,0.012
64,56,56,64,1,2,4,1,8,4,1,1,2,1,64,0.015085000000000001
64,56,56,64,1,2,2,1,8,4,1,7,1,1,8,0.018735
64,56,56,64,1,14,8,1,16,2,1,2,2,1,4,0.02691
64,56,56,64,1,8,2,1,4,8,1,2,1,1,1,0.01688
64,56,56,64,1,8,4,1,2,16,1,14,1,1,1,0.04086
64,56,56,64,1,2,8,1,16,2,1,1,4,1,8,0.012
64,56,56,64,1,2,2,1,2,16,1,14,1,1,64,0.01792
64,56,56,64,1,2,4,1,2,16,1,7,1,1,8,0.01373
64,56,56,64,1,28,2,1,16,2,1,7,2,1,1,0.08227
64,56,56,64,1,4,8,1,16,2,1,1,2,1,1,0.024509999999999997
64,56,56,64,1,2,2,1,2,16,1,8,2,1,64,0.01491
64,56,56,64,1,28,4,1,2,16,1,2,1,1,8,0.02422
64,56,56,64,1,4,2,1,1,32,1,16,1,1,1,0.021775000000000003
64,56,56,64,1,14,8,1,4,8,1,4,1,1,1,0.035405
64,56,56,64,1,14,2,1,4,8,1,14,2,1,1,0.06141
64,56,56,64,1,2,4,1,8,4,1,7,4,1,32,0.01443
64,56,56,64,1,32,2,1,2,16,1,1,2,1,32,0.01965
64,56,56,64,1,4,8,1,8,4,1,1,2,1,4,0.015120000000000001
64,56,56,64,1,4,4,1,4,8,1,4,2,1,1,0.019745
64,56,56,64,1,2,8,1,16,2,1,2,2,1,8,0.0119
64,56,56,64,1,4,4,1,8,4,1,2,2,1,8,0.012
64,56,56,64,1,2,8,1,32,1,1,7,2,1,4,0.01981
64,56,56,64,1,4,4,1,4,8,1,2,2,1,8,0.01206
64,56,56,64,1,14,4,1,16,2,1,1,4,1,4,0.018575
64,56,56,64,1,32,4,1,2,16,1,1,1,1,4,0.0272
64,56,56,64,1,2,4,1,2,16,1,8,1,1,8,0.01232
64,56,56,64,1,14,2,1,32,1,1,1,16,1,1,0.0417
64,56,56,64,1,4,4,1,16,2,1,7,1,1,1,0.02176
64,56,56,64,1,28,2,1,2,16,1,8,1,1,4,0.03082
64,56,56,64,1,4,2,1,4,8,1,4,1,1,64,0.0136
64,56,56,64,1,2,2,1,32,1,1,7,1,1,16,0.041440000000000005
64,56,56,64,1,2,2,1,8,4,1,2,4,1,4,0.015825
64,56,56,64,1,2,2,1,16,2,1,2,2,1,16,0.016625
64,56,56,64,1,8,2,1,4,8,1,2,2,1,64,0.012400000000000001
64,56,56,64,1,4,16,1,16,2,1,7,1,1,16,0.024974999999999997
64,56,56,64,1,4,4,1,2,16,1,7,1,1,64,0.0113
64,56,56,64,1,14,2,1,2,16,1,7,1,1,32,0.01542
64,56,56,64,1,2,2,1,2,16,1,4,2,1,16,0.014895
64,56,56,64,1,2,64,1,32,1,1,1,1,1,2,0.029295
64,56,56,64,1,14,4,1,4,8,1,14,1,1,4,0.04243
64,56,56,64,1,14,8,1,16,2,1,2,4,1,16,0.04317
64,56,56,64,1,28,2,1,8,4,1,2,8,1,2,0.05512
64,56,56,64,1,2,16,1,32,1,1,1,1,1,2,0.01853
64,56,56,64,1,4,2,1,2,16,1,8,1,1,16,0.013075
64,56,56,64,1,4,2,1,1,32,1,28,1,1,32,0.01642
64,56,56,64,1,4,2,1,8,4,1,1,1,1,32,0.019185
64,56,56,64,1,56,2,1,4,8,1,1,4,1,8,0.0271
64,56,56,64,1,2,2,1,4,8,1,2,2,1,64,0.015635
64,56,56,64,1,8,2,1,8,4,1,1,4,1,1,0.01773
64,56,56,64,1,2,16,1,32,1,1,1,4,1,32,0.01322
64,56,56,64,1,28,2,1,1,32,1,16,1,1,8,0.04298
64,56,56,64,1,4,2,1,16,2,1,1,2,1,16,0.015505000000000001
64,56,56,64,1,16,4,1,2,16,1,1,1,1,32,0.031695
64,56,56,64,1,14,2,1,16,2,1,7,4,1,2,0.05715
64,56,56,64,1,16,2,1,2,16,1,14,2,1,4,0.0524
64,56,56,64,1,16,2,1,2,16,1,1,1,1,16,0.01613
64,56,56,64,1,56,2,1,2,16,1,4,1,1,4,0.029165
64,56,56,64,1,4,4,1,8,4,1,7,1,1,16,0.013245
64,56,56,64,1,2,4,1,16,2,1,2,1,1,16,0.014159999999999999
64,56,56,64,1,4,16,1,16,2,1,1,1,1,8,0.01754
64,56,56,64,1,56,2,1,2,16,1,1,2,1,1,0.03562
64,56,56,64,1,4,2,1,4,8,1,4,1,1,1,0.0177
64,56,56,64,1,16,2,1,1,32,1,2,1,1,4,0.018064999999999998
64,56,56,64,1,16,4,1,4,8,1,1,1,1,4,0.01923
64,56,56,64,1,4,4,1,4,8,1,2,1,1,32,0.01197
64,56,56,64,1,8,2,1,4,8,1,1,2,1,4,0.014225
64,56,56,64,1,2,4,1,8,4,1,7,1,1,32,0.0135
64,56,56,64,1,16,2,1,1,32,1,1,1,1,8,0.01992
64,56,56,64,1,4,2,1,8,4,1,2,8,1,8,0.015745
64,56,56,64,1,8,4,1,4,8,1,1,1,1,32,0.01389
64,56,56,64,1,2,64,1,32,1,1,7,1,1,8,0.042685
64,56,56,64,1,4,8,1,4,8,1,14,1,1,1,0.040115
64,56,56,64,1,14,2,1,16,2,1,2,4,1,16,0.018705
64,56,56,64,1,2,8,1,8,4,1,7,2,1,64,0.013614999999999999
64,56,56,64,1,14,8,1,8,4,1,1,2,1,32,0.04266
64,56,56,64,1,4,4,1,16,2,1,1,8,1,64,0.011359999999999999
64,56,56,64,1,56,2,1,4,8,1,2,4,1,16,0.070675
64,56,56,64,1,28,2,1,1,32,1,7,1,1,2,0.03296
64,56,56,64,1,14,2,1,4,8,1,4,2,1,32,0.01574
64,56,56,64,1,14,8,1,8,4,1,2,2,1,8,0.02362
64,56,56,64,1,2,2,1,8,4,1,14,2,1,4,0.019535
64,56,56,64,1,2,8,1,16,2,1,14,1,1,4,0.019745
64,56,56,64,1,2,2,1,4,8,1,4,1,1,8,0.015475
64,56,56,64,1,16,2,1,1,32,1,4,1,1,4,0.01686
64,56,56,64,1,4,8,1,16,2,1,7,4,1,4,0.0385
64,56,56,64,1,8,8,1,8,4,1,1,1,1,32,0.02835
64,56,56,64,1,8,2,1,4,8,1,1,1,1,2,0.01736
